r_norm,g_norm,b_norm,r_g,r_b,g_b,saturation,reflectance,colorfulness,is_red,is_green,is_blue,color_label
0.0,0.0,255.0,0.0,0.0,0.0,0.9999999960784314,1.1538461390532546,-0.13333333185185187,0,0,1,yellow
206.0,198.0,104.0,1.0404040351494745,1.980769211723373,1.903846135539941,0.49514562866434164,0.49066666535822223,1.038043472619329,1,0,0,yellow
204.0,193.0,111.0,1.0569948131761926,1.8378378212807405,1.738738723074426,0.45588235070645905,0.4681818171177686,1.1359223245829013,1,0,0,yellow
207.0,191.0,110.0,1.0837696278336668,1.881818164710744,1.7363636205785127,0.4685990315526617,0.4692982445848723,1.1308411162110228,1,0,0,yellow
207.0,191.0,110.0,1.0837696278336668,1.881818164710744,1.7363636205785127,0.4685990315526617,0.4679487169488275,1.1369862961781447,1,0,0,yellow
209.0,192.0,108.0,1.088541660997179,1.9351851672668041,1.7777777613168726,0.4832535862045283,0.471092076079032,1.122727267623967,1,0,0,yellow
210.0,192.0,107.0,1.0937499943033855,1.9626168040876935,1.7943925065944626,0.4904761881405896,0.47413793001263377,1.1090909040495869,1,0,0,yellow
208.0,192.0,110.0,1.0833333276909722,1.8909090737190084,1.745454529586777,0.4711538438886834,0.46652719567672135,1.143497752719741,1,0,0,yellow
209.0,190.0,109.0,1.0999999942105263,1.9174311750694388,1.7431192500631263,0.47846889723220626,0.4686192458815497,1.1339285663663903,1,0,0,yellow
210.0,191.0,109.0,1.0994764340341547,1.9266054869118763,1.7522935619055637,0.48095237866213153,0.4687499990234375,1.1333333282962963,1,0,0,yellow
209.0,192.0,109.0,1.088541660997179,1.9174311750694388,1.7614678737480012,0.47846889723220626,0.46764091760408993,1.1383928520607463,1,0,0,yellow
210.0,190.0,108.0,1.1052631520775624,1.9444444264403293,1.759259242969822,0.4857142834013606,0.46972860027196534,1.128888883871605,1,0,0,yellow
211.0,191.0,108.0,1.1047120361009841,1.9537036856138548,1.7685185021433472,0.48815165645425757,0.46985446887764143,1.1283185790782364,1,0,0,yellow
208.0,191.0,109.0,1.0890052299004962,1.9082568632270014,1.7522935619055637,0.47596153617326187,0.46583850835230123,1.1466666615703704,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4688796670770131,1.1327433578197197,1,0,0,yellow
210.0,191.0,107.0,1.0994764340341547,1.9626168040876935,1.785046712289283,0.4904761881405896,0.470711296086378,1.1244444394469135,1,0,0,yellow
208.0,191.0,110.0,1.0890052299004962,1.8909090737190084,1.7363636205785127,0.4711538438886834,0.46597938048251675,1.1460176940441695,1,0,0,yellow
210.0,190.0,109.0,1.1052631520775624,1.9266054869118763,1.7431192500631263,0.48095237866213153,0.4670781883393453,1.1409691579692989,1,0,0,yellow
209.0,191.0,108.0,1.0942408319673256,1.9351851672668041,1.7685185021433472,0.4832535862045283,0.46972860027196534,1.128888883871605,1,0,0,yellow
209.0,191.0,109.0,1.0942408319673256,1.9174311750694388,1.7522935619055637,0.47846889723220626,0.4670781883393453,1.1409691579692989,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4690082634937846,1.1321585853208873,1,0,0,yellow
209.0,191.0,109.0,1.0942408319673256,1.9174311750694388,1.7522935619055637,0.47846889723220626,0.4688796670770131,1.1327433578197197,1,0,0,yellow
211.0,191.0,107.0,1.1047120361009841,1.971962598392873,1.785046712289283,0.49289099292468724,0.46997929509321057,1.1277532989966814,1,0,0,yellow
208.0,191.0,109.0,1.0890052299004962,1.9082568632270014,1.7522935619055637,0.47596153617326187,0.4669421477955741,1.1415929153026863,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4690082634937846,1.1321585853208873,1,0,0,yellow
208.0,191.0,110.0,1.0890052299004962,1.8909090737190084,1.7363636205785127,0.4711538438886834,0.46597938048251675,1.1460176940441695,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4690082634937846,1.1321585853208873,1,0,0,yellow
209.0,190.0,109.0,1.0999999942105263,1.9174311750694388,1.7431192500631263,0.47846889723220626,0.4669421477955741,1.1415929153026863,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4690082634937846,1.1321585853208873,1,0,0,yellow
209.0,191.0,109.0,1.0942408319673256,1.9174311750694388,1.7522935619055637,0.47846889723220626,0.46597938048251675,1.1460176940441695,1,0,0,yellow
210.0,190.0,109.0,1.1052631520775624,1.9266054869118763,1.7431192500631263,0.48095237866213153,0.4670781883393453,1.1409691579692989,1,0,0,yellow
210.0,191.0,107.0,1.0994764340341547,1.9626168040876935,1.785046712289283,0.4904761881405896,0.470711296086378,1.1244444394469135,1,0,0,yellow
209.0,190.0,109.0,1.0999999942105263,1.9174311750694388,1.7431192500631263,0.47846889723220626,0.46611909555211684,1.1453744442935048,1,0,0,yellow
211.0,191.0,107.0,1.1047120361009841,1.971962598392873,1.785046712289283,0.49289099292468724,0.47169811221866226,1.1199999950222224,1,0,0,yellow
209.0,190.0,109.0,1.0999999942105263,1.9174311750694388,1.7431192500631263,0.47846889723220626,0.46611909555211684,1.1453744442935048,1,0,0,yellow
211.0,191.0,107.0,1.1047120361009841,1.971962598392873,1.785046712289283,0.49289099292468724,0.47169811221866226,1.1199999950222224,1,0,0,yellow
209.0,190.0,109.0,1.0999999942105263,1.9174311750694388,1.7431192500631263,0.47846889723220626,0.46611909555211684,1.1453744442935048,1,0,0,yellow
211.0,191.0,108.0,1.1047120361009841,1.9537036856138548,1.7685185021433472,0.48815165645425757,0.46985446887764143,1.1283185790782364,1,0,0,yellow
208.0,191.0,110.0,1.0890052299004962,1.8909090737190084,1.7363636205785127,0.4711538438886834,0.46597938048251675,1.1460176940441695,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4690082634937846,1.1321585853208873,1,0,0,yellow
209.0,191.0,109.0,1.0942408319673256,1.9174311750694388,1.7522935619055637,0.47846889723220626,0.4677754668029616,1.1377777727209877,1,0,0,yellow
210.0,190.0,109.0,1.1052631520775624,1.9266054869118763,1.7431192500631263,0.48095237866213153,0.4670781883393453,1.1409691579692989,1,0,0,yellow
209.0,191.0,109.0,1.0942408319673256,1.9174311750694388,1.7522935619055637,0.47846889723220626,0.4677754668029616,1.1377777727209877,1,0,0,yellow
210.0,190.0,109.0,1.1052631520775624,1.9266054869118763,1.7431192500631263,0.48095237866213153,0.4670781883393453,1.1409691579692989,1,0,0,yellow
210.0,191.0,109.0,1.0994764340341547,1.9266054869118763,1.7522935619055637,0.48095237866213153,0.4687499990234375,1.1333333282962963,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4688796670770131,1.1327433578197197,1,0,0,yellow
210.0,191.0,108.0,1.0994764340341547,1.9444444264403293,1.7685185021433472,0.4857142834013606,0.4677754668029616,1.1377777727209877,1,0,0,yellow
210.0,189.0,109.0,1.1111111052322165,1.9266054869118763,1.7339449382206886,0.48095237866213153,0.46611909555211684,1.1453744442935048,1,0,0,yellow
210.0,191.0,108.0,1.0994764340341547,1.9444444264403293,1.7685185021433472,0.4857142834013606,0.4677754668029616,1.1377777727209877,1,0,0,yellow
211.0,190.0,108.0,1.1105263099445983,1.9537036856138548,1.759259242969822,0.48815165645425757,0.4688796670770131,1.1327433578197197,1,0,0,yellow
209.0,191.0,109.0,1.0942408319673256,1.9174311750694388,1.7522935619055637,0.47846889723220626,0.46680497828463696,1.142222217145679,1,0,0,yellow
