r_norm,g_norm,b_norm,r_g,r_b,g_b,saturation,reflectance,colorfulness,is_red,is_green,is_blue,color_label
76.0,191.0,242.0,0.3979057570790275,0.314049585479134,0.7892561950857182,0.6859504103886347,0.7727272639462811,0.2941176427335641,0,0,1,grey
167.0,172.0,169.0,0.9709302269131964,0.9881656746262386,1.0177514732677428,0.02906976727285019,0.4628975248660865,1.1603053346541579,0,1,0,grey
170.0,173.0,166.0,0.9826589538574627,1.0240963793729134,1.0421686684206708,0.04046242751177788,0.44117646929065746,1.2666666582222224,0,1,0,grey
173.0,171.0,165.0,1.0116959005163983,1.048484842130395,1.0363636300826446,0.04624277429917471,0.4431818169227789,1.2564102483563446,1,0,0,grey
172.0,172.0,164.0,0.9999999941860466,1.0487804814098751,1.0487804814098751,0.046511627636560304,0.44198894905527913,1.2624999921093751,1,0,0,grey
174.0,171.0,164.0,1.017543853698574,1.0609756032867341,1.0426829204714456,0.05747126403752147,0.4472222209799383,1.236024837043324,1,0,0,grey
173.0,172.0,163.0,1.0058139476406165,1.061349686740186,1.0552147174526705,0.057803467873968395,0.44204851632871023,1.262195114254908,1,0,0,grey
175.0,172.0,162.0,1.0174418545497568,1.0802469069120562,1.0617283885078495,0.0742857138612245,0.44686648379600413,1.23780487050119,1,0,0,grey
174.0,172.0,162.0,1.0116279010951867,1.0740740674439873,1.0617283885078495,0.06896551684502576,0.44148936052795384,1.2650602333430108,1,0,0,grey
175.0,172.0,162.0,1.0174418545497568,1.0802469069120562,1.0617283885078495,0.0742857138612245,0.44266666548622224,1.2590361369937582,1,0,0,grey
176.0,171.0,161.0,1.0292397600629255,1.0931676950734925,1.0621117946452683,0.08522727224302687,0.4474393518936945,1.2349397515967484,1,0,0,grey
176.0,172.0,161.0,1.0232558080043268,1.0931676950734925,1.0683229747309133,0.08522727224302687,0.4429708211061782,1.2574850224102694,1,0,0,grey
177.0,171.0,161.0,1.035087713245101,1.0993788751591373,1.0621117946452683,0.09039547971527978,0.44652406297720837,1.2395209506615512,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4432717666404439,1.255952373476474,1,0,0,grey
176.0,172.0,161.0,1.0232558080043268,1.0931676950734925,1.0683229747309133,0.08522727224302687,0.44652406297720837,1.2395209506615512,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4432717666404439,1.255952373476474,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4489247299760088,1.2275449028290724,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.44799999880533337,1.2321428498086735,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4432717666404439,1.255952373476474,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.4489247299760088,1.2275449028290724,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4501347696761866,1.221556878912833,1,0,0,grey
176.0,173.0,160.0,1.0173410345818437,1.099999993125,1.0812499932421875,0.09090909039256198,0.4444444432686655,1.2499999925595238,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.44799999880533337,1.2321428498086735,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4501347696761866,1.221556878912833,1,0,0,grey
176.0,172.0,161.0,1.0232558080043268,1.0931676950734925,1.0683229747309133,0.08522727224302687,0.4456233409930415,1.2440476116425738,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4501347696761866,1.221556878912833,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4489247299760088,1.2275449028290724,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4501347696761866,1.221556878912833,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.44680850944997735,1.2380952307256237,1,0,0,grey
178.0,171.0,160.0,1.0409356664272769,1.112499993046875,1.0687499933203126,0.1011235949375079,0.44799999880533337,1.2321428498086735,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4444444432686655,1.2499999925595238,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4444444432686655,1.2499999925595238,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.4489247299760088,1.2275449028290724,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
176.0,172.0,161.0,1.0232558080043268,1.0931676950734925,1.0683229747309133,0.08522727224302687,0.4444444432686655,1.2499999925595238,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.44680850944997735,1.2380952307256237,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4489247299760088,1.2275449028290724,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4444444432686655,1.2499999925595238,1,0,0,grey
177.0,171.0,160.0,1.035087713245101,1.1062499930859375,1.0687499933203126,0.09604519719748476,0.4489247299760088,1.2275449028290724,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4444444432686655,1.2499999925595238,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4432717666404439,1.255952373476474,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.4456233409930415,1.2440476116425738,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4432717666404439,1.255952373476474,1,0,0,grey
178.0,171.0,160.0,1.0409356664272769,1.112499993046875,1.0687499933203126,0.1011235949375079,0.44652406297720837,1.2395209506615512,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4453333321457778,1.2455089745777905,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.44772117842434,1.233532926745312,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4453333321457778,1.2455089745777905,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4453333321457778,1.2455089745777905,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,161.0,1.0232558080043268,1.0931676950734925,1.0683229747309133,0.08522727224302687,0.4421052619944598,1.261904754393424,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,161.0,1.0232558080043268,1.0931676950734925,1.0683229747309133,0.08522727224302687,0.4441489349889656,1.25149699849403,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4429708211061782,1.2574850224102694,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.44652406297720837,1.2395209506615512,1,0,0,grey
177.0,172.0,160.0,1.0290697614588968,1.1062499930859375,1.07499999328125,0.09604519719748476,0.4429708211061782,1.2574850224102694,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
175.0,173.0,161.0,1.011560687794447,1.0869565149878477,1.0745341548165581,0.07999999954285715,0.4441489349889656,1.25149699849403,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4453333321457778,1.2455089745777905,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44772117842434,1.233532926745312,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4453333321457778,1.2455089745777905,1,0,0,grey
178.0,172.0,159.0,1.0348837149134669,1.1194968483050514,1.08176099948578,0.1067415724340361,0.44986449742584145,1.2228915588982436,1,0,0,grey
176.0,172.0,160.0,1.0232558080043268,1.099999993125,1.07499999328125,0.09090909039256198,0.4453333321457778,1.2455089745777905,1,0,0,grey
